Comentary,Feeling
"Creative teams, people really care about purpose-driven work, and lots of talent in the company.",1
No overtime we closed early,0
Aesop provides a very generous starting hourly wage and up to thirty hours a week for part time. They provide monthly and yearly bonuses and free products regularly. The products are truly what they claim to be and the company does stand strong to its ethics and morals through and through. They provide food in store everyday and celebratory dinners twice a year.,1
All about virtue signaling without caring for employees or providing meaningful opportunities for advancement,0
It's sort of a mess,0
"- Still transitioning from start-up tech model to a more structured Agile practice
- Lacks experienced developers
- Inadequate knowledge sharing between members sometimes of the same team
- Legacy code base with crippling, unconventional architecture",0
"The schedule, like any retail job can be overwhelming sometimes",0
"poor people management skills across middle level management -- company cares more about degrees from elite schools or one's smartness being a prerequisite for being a people manager more than their actual people management skills, ability to set vision and direction or level of emotional intelligence. 

company has core values, but they are just words on the wall. should be infused in performance reviews for all people",0
Sometimes when working alone an influx of customers can be hard to deal with,0
Downtime can be very boring,0
there was easy opportunity for advancement,1
"Easy Hours, Flexible schedule making",1
Plenty of training and advancement opportunities if you're willing to put the work in.,1
"Easy, paid living wage, good people",1
Maybe sometime we will have overtime work.,0
Gratis. Working with fun people.,1
There are no cons with the organisation,0
things couldnt get better then this,0
"Wonderful people to work with, the company feels more like a team than a job.",1
"Very poor management, especially middle management.  The company is experiencing somewhat of a crisis.  Exodus of good employees. Management is taking pains to hide the departures (e.g., farewell emails are highly discouraged and only allowed with manager approval).  The company strongly discourages feedback from ICs and has an elitist attitude.  Company is run by academics who have a difficult time making decisions.  Everything has to be A/B tested before rolled out.  If employees give honest feedback, the feedback is usually downplayed, and the employee reprimanded or terminated as they perceive it reflects a bad attitude.  Unless you went to Harvard, Stanford, or Yale, don't expect to be promoted.",0
"Being a remote-first company, I was only able to meet my team members a couple times but this was wonderful memories when we did have the opportunity to meet from across the country. Was sad to be part of the tech layoffs but I'm grateful for the short but sweet time I had with this B-Corp.",0
"Slow in the cold seasons, extremely busy in the hot season,  not enough hours",0
"Any company will experience growing pains, or have some questionable hires. It sounds like the negative energies have finally left though.",0
Flexible working hours and remote,1
"Vibrant culture, flexible hours, great community to engage and learn from. The CEO is also very open for chats.",1
Great team and company culture. Open to suggestions and have fun all the time.,1
Learn customer management skills that are inportant,0
Benefits is the only Pro for production workers,1
"Hours weren't too great due to low store traffic. Extremely slow days led to tedious work. Because it was a mall location the mall hours differed and caused some slight problems, Bad customers but not too many. Unexpected layoffs.",0
Kind work environment for growth,1
Product management team is a joke. Leadership in this team shouldn't be where they are.,0
